Waypoint,x,y
267,0.266,0.08454915
268,0.267,0.085620034
269,0.268,0.086698158
270,0.269,0.08778298
271,0.27,0.088873953
272,0.271,0.089970529
273,0.272,0.091072155
274,0.273,0.092178277
275,0.274,0.093288337
276,0.275,0.094401776
277,0.276,0.095518035
278,0.277,0.09663655
279,0.278,0.097756758
280,0.279,0.098878097
281,0.28,0.1
282,0.281,0.101121903
283,0.282,0.102243242
284,0.283,0.10336345
285,0.284,0.104481965
286,0.285,0.105598224
287,0.286,0.106711663
288,0.287,0.107821723
289,0.288,0.108927845
290,0.289,0.110029471
291,0.29,0.111126047
292,0.291,0.11221702
293,0.292,0.113301842
294,0.293,0.114379966
295,0.294,0.11545085
296,0.295,0.116513953
297,0.296,0.117568741
298,0.297,0.118614683
299,0.298,0.119651252
300,0.299,0.120677925
301,0.3,0.121694187
302,0.301,0.122699525
303,0.302,0.123693433
304,0.303,0.124675411
305,0.304,0.125644964
306,0.305,0.126601604
307,0.306,0.127544849
308,0.307,0.128474225
309,0.308,0.129389263
310,0.309,0.130289502
311,0.31,0.13117449
312,0.311,0.132043781
313,0.312,0.132896936
314,0.313,0.133733527
315,0.314,0.134553132
316,0.315,0.135355339
317,0.316,0.136139743
318,0.317,0.13690595
319,0.318,0.137653573
320,0.319,0.138382237
321,0.32,0.139091574
322,0.321,0.139781227
323,0.322,0.14045085
324,0.323,0.141100104
325,0.324,0.141728663
326,0.325,0.14233621
327,0.326,0.14292244
328,0.327,0.143487057
329,0.328,0.144029777
330,0.329,0.144550326
331,0.33,0.145048443
332,0.331,0.145523877
333,0.332,0.145976389
334,0.333,0.146405749
335,0.334,0.146811744
336,0.335,0.147194167
337,0.336,0.147552826
338,0.337,0.147887541
339,0.338,0.148198143
340,0.339,0.148484476
341,0.34,0.148746396
342,0.341,0.14898377
343,0.342,0.149196479
344,0.343,0.149384417
345,0.344,0.149547488
346,0.345,0.14968561
347,0.346,0.149798715
348,0.347,0.149886744
349,0.348,0.149949653
350,0.349,0.149987412
351,0.35,0.15
352,0.351,0.149987412
353,0.352,0.149949653
354,0.353,0.149886744
355,0.354,0.149798715
356,0.355,0.14968561
357,0.356,0.149547488
